id,ferrouscount,ferroussize,nonferrouscount,nonferroussize,peakvalue,rms,cf,kurtosis,fm4,na4
1,15,0 - 10,18,0 - 10,4,3.1,3.53,2.99,1.9,1.24
2,15,0 - 10,18,0 - 10,3.89,3.02,4.03,2.95,1.64,1.5
3,15,0 - 10,18,0 - 10,3.56,2.98,4.22,2.89,1.24,2.01
4,15,0 - 10,18,0 - 10,2.97,2.83,3.89,2.83,1.36,1.76
5,15,0 - 10,18,0 - 10,2.98,2.77,3.56,2.77,1.68,1.35
6,15,0 - 10,18,0 - 10,2.99,2.89,2.97,3.01,1.95,1.9
7,15,0 - 10,18,0 - 10,3.26,3.87,3.2,3.07,1.54,1.64
8,15,0 - 10,18,0 - 10,3.48,3.86,2.85,2.95,1.27,1.9
9,15,0 - 10,18,0 - 10,3.48,3.02,2.84,2.95,1.36,1.64
10,15,0 - 10,18,0 - 10,3.69,3.96,2.68,2.92,1.67,1.53
11,17,0 - 10,16,0 - 10,4.22,3.75,2.53,2.89,1.9,1.68
12,17,0 - 10,16,0 - 10,4.35,3.26,4.22,2.86,1.64,1.2
13,17,0 - 10,16,0 - 10,4.45,3.54,3.89,2.88,1.53,1.43
14,17,0 - 10,16,0 - 10,4.65,2.53,4.66,2.98,2.01,1.34
15,17,0 - 10,16,0 - 10,4.87,4.22,3.89,3,1.5,1.64
16,17,0 - 10,16,0 - 10,4.88,3.1,3.88,3.07,1.55,1.24
17,17,0 - 10,16,0 - 10,5.01,3.02,3.87,3.25,1.24,1.67
18,17,0 - 10,16,0 - 10,5.06,2.98,3.86,3.15,1.32,1.6
19,17,0 - 10,16,0 - 10,5.25,3,2.68,3.35,1.62,1.24
20,17,0 - 10,16,0 - 10,5.63,2.98,2.53,3.4,1.34,1.68
21,14,0 - 10,17,0 - 10,5.89,3,4.22,3.68,1.64,1.2
22,14,0 - 10,17,0 - 10,5.78,3.07,3.88,3.98,1.76,0.7
23,14,0 - 10,17,0 - 10,5.98,3.02,2.87,3.88,1.98,2.2
24,14,0 - 10,17,0 - 10,6.02,2.98,2.65,4.01,1.45,1.9
25,14,0 - 10,17,0 - 10,5.97,2.89,2.99,4.23,1.56,1.64
26,14,0 - 10,17,0 - 10,5.94,3.88,2.45,4.12,1.5,1.53
27,14,0 - 10,17,0 - 10,5.93,3.09,3.65,4.15,2.2,1.38
28,14,0 - 10,17,0 - 10,5.98,2.99,3.85,4.26,1.9,1.83
29,14,0 - 10,17,0 - 10,5.97,2.98,3.84,4.39,1.6,1.76
30,14,0 - 10,17,0 - 10,6.03,3.08,3.21,4.38,1.24,1.34
31,15,0 - 10,15,0 - 10,6.11,3.02,3.63,4.49,1.67,1
32,15,0 - 10,15,0 - 10,5.79,2.98,3.99,4.38,1.38,1.64
33,15,0 - 10,15,0 - 10,5.98,2.89,3.59,4.51,1.68,1.75
34,15,0 - 10,15,0 - 10,6.05,2.95,3.84,4.36,1.2,1.52
35,15,0 - 10,15,0 - 10,6.06,2.95,3.83,4.73,1.34,1.36
36,15,0 - 10,15,0 - 10,6.1,2.77,3.56,4.57,1.53,1.02
37,15,0 - 10,15,0 - 10,6.12,3.86,2.97,4.01,1.73,1.06
38,15,0 - 10,15,0 - 10,5.89,2.68,2.83,4.23,1.2,0.85
39,15,0 - 10,15,0 - 10,5.91,2.53,2.54,4.12,1.43,0.7
40,15,0 - 10,15,0 - 10,5.89,3.08,3.56,4.15,1.36,2.2
41,17,0 - 10,14,0 - 10,5.78,2.68,2.97,4.26,1.02,1.9
42,17,0 - 10,14,0 - 10,5.98,2.53,3.2,4.39,1.06,1.6
43,17,0 - 10,14,0 - 10,6.02,4.22,2.88,4.38,1.11,1.25
44,17,0 - 10,14,0 - 10,5.97,3.88,2.7,4.49,1.53,1.28
45,17,0 - 10,14,0 - 10,5.94,3,2.97,4.38,1.35,1.96
46,17,0 - 10,14,0 - 10,5.93,3.07,3.2,4.51,1.9,1.67
47,17,0 - 10,14,0 - 10,5.91,3.26,2.88,4.36,1.64,1.86
48,17,0 - 10,14,0 - 10,5.89,3.98,3.02,4.73,1.53,1.65
49,17,0 - 10,14,0 - 10,5.78,4.06,3.55,4.57,1.72,1.36
50,17,0 - 10,14,0 - 10,5.98,2.88,3.42,4.01,1.24,1.34
51,16,0 - 10,17,0 - 10,6.05,2.98,3.26,4.23,1.32,1.23
52,16,0 - 10,17,0 - 10,6.06,2.95,3.98,4.12,1.02,1.35
53,16,0 - 10,17,0 - 10,6.1,3.05,4.06,4.15,1.2,1.62
54,16,0 - 10,17,0 - 10,6.12,3.08,4.25,4.26,1.01,1.31
55,16,0 - 10,17,0 - 10,5.89,3.09,4.11,4.39,1.64,1.91
56,16,0 - 10,17,0 - 10,5.91,2.86,4.09,4.38,1.82,1.66
57,16,0 - 10,17,0 - 10,5.89,2.88,3.96,4.49,1.99,1.34
